"Id","NIF__c","Name","BillingStreet","BillingCity","BillingPostalCode","BillingCountryCode"
"0012400000kQFS9AAO","507811321","LEONEL FERREIRA & GUEDES, LDA","RUA ANTÓNIO OLIVEIRA BRAGA, 109","MAIA","4470-141","PT"
"001240000104bsiAAA","508156092","SOFTPACK - SOFTWARE, LDA","RUA DA CRIATIVIDADE, EDIFICIOS CENTRAIS, PARQUE TECNOLOGICO DE ÓBIDOS","CASAL DO ZAMBUJEIRO","2510-216","PT"
"00124000012vcysAAA","510663532","100FOGO, LDA","AVENIDA DO BONFIM, ARMAZÉM JC1","FOROS DE AMORA","2845-194","PT"
"0012400000kQFuaAAG","509122957","GROWINGOLD UNIPESSOAL, LDA","RUA ENGENHEIRO FREDERICO ULRICH, 3659 4º SALA 2, MOREIRA","MAIA","4470-605","PT"
"001240000104dzeAAA","508252652","DATA SOURCE - WEB SOLUTIONS, LDA","RUA DOUTOR GASPAR REBELO, 13 PISO 1, EDIFÍCIO MULTIMÉDIA","SEIA","6270-436","PT"
"001240000104c44AAA","508169950","INFOTACTIL - COMERCIO E SERVIÇOS, LDA","RUA DE SANTA IRIA, LOJA M R/C","VILA REAL","5000-446","PT"
"001240000104efbAAA","509942571","SIMOFFICE, LDA","RUA DE XABREGAS, LOTE A 2ºSALA 287","LISBOA","1900-440","PT"
"0012400000zc4PfAAI","503181331","INDUSTEJO - SEGURANÇA E EQUIPAMENTOS INDUSTRIAIS, LDA","ZONA INDUSTRIAL DE SANTO ANTÓNIO, LOTE 2","ARRUDA DOS VINHOS","2630-128","PT"
"001240000104ez1AAA","508282691","GLOBIRAIZ, LDA","AVENIDA TIMOR LOROSAE, 6 4ºDTO.","AGUALVA-CACÉM","2735-593","PT"
"0012400000kQDYRAA4","502964901","J.M.E. - GABINETE TECNICO DE INFORMATICA, LDA","RUA DE MONTEZELOS, LOTE 22 ENT. 7","VILA REAL","5000-433","PT"
"001240000102kI6AAI","503651770","QUERIE - CONSULTORIA INFORMÁTICA, LDA","RUA MARIA LANLADE, 13 8E","LISBOA","1500-435","PT"
"0012400001004IUAAY","508587476","MOSFET II - SEGURANÇA E ELECTRÓNICA, LDA","RUA DO BALSINHA, 58","ERMESINDE","4445-338","PT"
"001240000104gitAAA","509972900","NKA - NEW KNOWLEDGE ADVICE, LDA","TRAVESSA JOSÉ ANTÓNIO CRUZ, 5","BRAGA","4715-343","PT"
"0012400000hjmhaAAA","513242767","SÍLABAMANIA, LDA","RUA DA IGREJA, 79, AVEIRO BUSINESS CENTER","MAMODEIRO","3810-744","PT"
"001240000104gDkAAI","509844456","ALFAMIND - INNOVATION SYSTEMS, LDA","RUA DE CAIRES, 328 LOJA 15","BRAGA","4700-207","PT"
"00124000012wuICAAY","510154069","MIGUEL SPÍNOLA, UNIPESSOAL, LDA","ESTRADA PONTA DA OLIVEIRA, APARTAMENTOS VIP VI BLOCO B 4ºY","CANIÇO","9125-035","PT"
"0012400000zc4ftAAA","503374253","BIZWARE - TECNOLOGIAS DE INFORMAÇÃO, LDA","AVENIDA PROFESSOR DOUTOR EGAS MONIZ, 3 R/C A, MASSAMÁ","QUELUZ","2745-762","PT"
"001240000104USjAAM","503568333","PREVINCÊNDIO - COMÉRCIO DE MATERIAL CONTRA INCÊNDIO, UNIPESSOAL, LDA","RUA BARTOLOMEU DIAS, 7B","QUELUZ DE BAIXO","2730-026","PT"
"0012400000hjMlSAAU","505168634","MPR - GESTÃO, CONTABILIDADE E INFORMÁTICA, LDA","RUA NOSSA SENHORA DA AJUDA, 104","MOREIRA DE CÓNEGOS","4815-364","PT"
"0012400000zc454AAA","503133329","CCSI - SOLUÇÕES INFORMÁTICAS E COMUNICAÇÕES, LDA","RUA B, 20, VALE DO ROSAL","COIMBRA","3040-321","PT"
"001240000104g2TAAQ","508317118","GEEKSQUAD, LDA","RUA DOM MANUEL I, 34A","BOBADELA","2695-003","PT"
"00124000013eop5AAA","513548300","BLUETAG, LDA","ESTRADA DE PAÇO D'ARCOS, 66/66A SALA 2-02","AGUALVA-CACÉM","2735-308","PT"
"0012400000kQDevAAG","503257400","REALCÓPIA - EQUIPAMENTOS DE ESCRITÓRIO, LDA","AVENIDA DE DOM DINIS, 1/9","VILA REAL","5000-600","PT"
"001240000104fwdAAA","509861008","KEYTARCON - SOCIEDADE COMERCIAL DE EQUIPAMENTOS INDUSTRIAIS DE AVAC E REFRIGERAÇÃO, LDA","ESTRADA DO CASAL DO CANAS, LOTE 4 EDIFÍCIO EFCIS","AMADORA","2724-523","PT"
"001240000104ggrAAA","508295459","HUMAN ET WORK - SOLUÇÕES EM RECURSOS HUMANOS, LDA","RUA ABADE CORREIA DA SERRA, 112","SENHORA DA HORA","4460-208","PT"
"0012400000zc4UQAAY","508553865","STRONGMATIC, UNIPESSOAL, LDA","AVENIDA DOS CAPITÃES, 119","VISEU","3500-094","PT"
"0011o00001WEHK3AAP","513363343","PLANO ELÉTRICO - MÁQUINAS E EQUIPAMENTOS, UNIPESSOAL, LDA","AVENIDA GRUPO AEME, 26 4ºDTO.","CETE","4580-337","PT"
"0011o00001WEaZTAA1","510245986","LABELTRONIX IBÉRICA - IDENTIFICAÇÃO E MARCAÇÃO DE PRODUTOS, LDA","RUA NOVA DA PIEDADE, 75","LISBOA","1200-297","PT"
"0011o00001WEDWcAAP","256692866","João Miguel M. Simões","Rua Eng. Gil d'Orey 37G","Lousã","3200-240","PT"
"0011o00001WEaMuAAL","504081373","MAXPROG - INFORMÁTICA E COMERCIALIZAÇÃO DE MATERIAL PARA ESCRITÓRIO, LDA","PRACETA CEVADEIRA, 1 LOJA R/C DTO.","CASTANHEIRA DO RIBATEJO","2600-628","PT"
"0011o00001WEaG3AAL","502649208","PROCOMPE - INFORMATICA E SERVIÇOS, LDA","PRACETA FERNANDO PESSA, 5 LOJA, URBANIZAÇÃO QUINTA DAS PRETAS","PRIOR VELHO","2685-410","PT"
"0011o00001WEGa8AAH","505989840","PEDRO RAMOS - SOLUÇÕES EMPRESARIAIS, UNIPESSOAL, LDA","RUA DOUTOR RUI LUÍS GOMES, 62B 1ºDTO.","ENTRONCAMENTO","2330-145","PT"
"0011o00001WEI0KAAX","500646791","FUJITSU TECHNOLOGY SOLUTIONS, LDA","AVENIDA DO COLÉGIO MILITAR, 37F 3º","LISBOA","1500-180","PT"
"0011o00001WEGCpAAP","502696974","MICROVAL - SOCIEDADE INFORMÁTICA E GESTÃO, LDA","HORTA DA FONTE","VALPAÇOS","5430-452","PT"
"0011o00001WEub2AAD","224184130","Luis Miguel Peixinho Crespo","","","","PT"
"0011o00001WEF39AAH","508260760","MEDIASCREEN, UNIPESSOAL, LDA","LARGO ANA DE CASTRO OSÓRIO, LOTE 15 4ºDTO.","AMADORA","2650-390","PT"
"0011o00001WEF6ZAAX","509980406","VITOR ALEXANDRE NORA COSTA, UNIPESSOAL, LDA","AVENIDA DE DOM JOÃO I, 121 R/C ESQ.","RIO TINTO","4435-208","PT"
"0011o00001WEZcDAAX","514120495","APDIT CONSULTING, UNIPESSOAL, LDA","RUA GARCIA DE RESENDE, 127 6ºESQ., ALVIDE","ALCABIDECHE","2755-048","PT"
"0011o00001WEQtJAAX","507842650","LISDOC, UNIPESSOAL, LDA","ESTRADA DE BENFICA, 405 1ºESQ.","LISBOA","1500-077","PT"
"0011o00001WEfR3AAL","509584489","FROTCOM LUSITANA, LDA","RUA NORBERTO DE OLIVEIRA, 7","PÓVOA DE SANTO ADRIÃO","2620-111","PT"
"0011o00001WDZX9AAP","502863595","AHP - Informática e Serviços, S.A.","ESTRADA DA OUTURELA, 118 PISO 0, EDIFICIO B1 - PARQUE HOLANDA","CARNAXIDE","2790-114","PT"
"0011o00001WDbwlAAD","513464425","GREENADVANTAGES - GLOBAL TRADING, LDA","RUA ANTÓNIO QUADROS, 1 3ºA","LISBOA","1600-875","PT"
"0011o00001WDa1IAAT","510926452","INFORPUZZLE - SOLUÇÕES TIC, LDA","RUA FERNANDO BARROS FERREIRA LEAL, 1 , LOJA B, URBANIZAÇÃO NOVA DA CONQUINHA","TORRES VEDRAS","2560-253","PT"
"0011o00001VuqgVAAR","509411886","GARD, UNIPESSOAL, LDA","BAIRRO FUNDO DO FOMENTO, ENTRADA 1 BLOCO F 1ºESQ., ANTA","ESPINHO","4500-001","PT"
"0011o00001VuNsoAAF","505109379","AFTERSALES - TECNOLOGIA DE MAQUINAGEM, COMÉRCIO E SERVIÇOS, S.A.","RUA 1º DE MAIO, 60 LOTE 14","AVELEDA","4485-010","PT"
"0011o00001VvwlzAAB","503149322","DATAPLUS - FORMAÇÃO E INOVAÇÃO TECNOLÓGICA, LDA","RUA DAS GALEGAS, 55D - ALFRAGIDE","AMADORA","2610-265","PT"
"0011o00001VwID5AAN","514321911","NEWPRISM, UNIPESSOAL, LDA","AVENIDA SÃO SALVADOR, 592 1ºDTO. SALA 4","GRIJÓ","4415-557","PT"
"0011o00001Vvj2pAAB","505434067","CONFERIR - CONTABILIDADE E SERVIÇOS, LDA","RUA VALE TERMINUS, 20 1º, CASAL VALE TERMINUS","TORRES VEDRAS","2560-246","PT"
"0011o00001VvzZzAAJ","502730331","GODIFIL - COMÉRCIO DE MÁQUINAS INDUSTRIAIS, LDA","RUA DE SÃO DÂMASO, 1129","GUIMARÃES","4800-444","PT"
"0012400001QeR40AAF","507694449","T & G - SISTEMAS, UNIPESSOAL, LDA","RUA SANTO CONDESTÁVEL, 23-LOJA.ESQ R/C","FOGUETEIRO","2845-164","PT"
"0011o00001R6jeoAAB","514609141","HARDPRIME, LDA","AVENIDA DO PARQUE, 98 5ºDTO.","RINCHOA","2635-610","PT"
"0012400001R4je6AAB","506148025","REGISTECNICA - COMÉRCIO DE EQUIPAMENTO DE ESCRITÓRIO, LDA","RUA CÓNEGO JOSÉ FERREIRA LACERDA, LOTE 66 R/C DTO., URBANIZAÇÃO QUINTA DA MATINHA","LEIRIA","2415-378","PT"
"0011o00001T1hEyAAJ","501188843","COMPUTOVISEU - COMERCIO DE EQUIPAMENTO INFORMATICO E IMAGEM, LDA","RUA ALEXANDRE HERCULANO, 564, EDIFÍCIO NICOLE 2","VISEU","3510-035","PT"
"0012400001R4mzmAAB","219418349","MÁRCIO TEIXEIRA SOEIRO","","","","PT"
"001240000104qDTAAY","506612813","VIRTWARE - SOLUÇÕES INTEGRADAS DE TELECOMUNICAÇÕES, LDA","RUA DE CANASTREIROS, 394","VILA NOVA DE GAIA","4400-404","PT"
"001240000104nFAAAY","508790905","IDW2 - INTEGRAÇÃO E DESENVOLVIMENTO, LDA","RUA DOUTOR ANTÓNIO LOUREIRO BORGES, EDIFÍCIO 5, OAA, ARQUIPARQUE","MIRAFLORES","1495-131","PT"
"001240000104qOpAAI","506659348","MOREIRA & COSTA, LDA","PRAÇA 25 DE ABRIL, 7 2º/3º","SANTO TIRSO","4780-373","PT"
"001240000104tIJAAY","507566084","SEGUINF - SOLUÇÕES INTEGRADAS, LDA","RUA ENGENHEIRO JOSÉ BASTOS XAVIER, 35G R/C","ÁGUEDA","3750-144","PT"
"001240000104qDEAAY","508385946","NOSHAPE, LDA","RUA CONSELHEIRO LOPO VAZ, LOTE A/B PISO -1 ESCRITÓRIO M","LISBOA","1800-142","PT"
"00124000012wnYAAAY","509498841","HÁBITO & INÉRCIA, LDA","RUA BENTO GONÇALVES, 21 1ºDTO.","MOITA","2860-439","PT"
"0012400000iYSS6AAO","509840248","DUDINFOR SYSTEMS, UNIPESSOAL, LDA","RUA DE ARY DOS SANTOS, 22G","ALMADA","2810-433","PT"
"001240000104eqhAAA","508278155","LOGICPULSE TECHNOLOGIES, LDA","RUA CAPITÃO SALGUEIRO MAIA, 7","BUARCOS","3080-245","PT"
"0012400000nwJ7RAAU","502703628","TD TECH DATA PORTUGAL, LDA","AVENIDA DA BOAVISTA, 3.265 PISO 7 SALA 2","PORTO","4100-137","PT"
"001240000104sr5AAA","509522769","UNIQUE POINT SOLUTIONS, LDA","RUA MARQUÊS DE POMBAL, 49","LAGOA","8400-391","PT"
"001240000104ploAAA","506415945","E.C.L. - EQUIPAMENTOS PARA CARBURANTES E LUBRIFICANTES, LDA","RUA DE MOÇAMBIQUE, 6A","ALMEIRIM","2080-096","PT"
"001240000104pWqAAI","508684889","GOBIERNA TI PORTUGAL, LDA","AVENIDA DA LIBERDADE, 69 2ºC","LISBOA","1250-140","PT"
"001240000104q53AAA","506505260","MARQUES ASSOCIADOS DIGITAL, LDA","ESTRADA NACIONAL 1 NORTE, 4.156","AVELÃS DE CAMINHO","3780-351","PT"
"0012400000iTGaaAAG","505292513","XECSUL - EQUIPAMENTOS E SERVIÇOS, LDA","RUA JOSÉ JUSTINO LOPES, 12C, RAMADA","ALMADA","2805-320","PT"
"00124000013f2TRAAY","510154425","SENSORPOINT - SOLUÇÕES DE SEGURANÇA, LDA","Alameda dos Oceanos, 3.09.08, R/C Frente, Loja 2","Lisboa","1990-216","PT"
"001240000104pjnAAA","506377873","VIDEOMATER - MATERIAL PARA VIDEO, LDA","AVENIDA DE PÁDUA, 10H","LISBOA","1800-297","PT"
"001240000104prIAAQ","508446090","SBSIT - BUSINESS SOLUTIONS, LDA","AVENIDA DAS FORÇAS ARMADAS, 4 3ºD","LISBOA","1600-082","PT"
"001240000104niaAAA","508776058","UBIPRISM, LDA","CAMPUS UNIVERSITÁRIO DE SANTIAGO, EDÍFICIO 1","AVEIRO","3810-193","PT"
"001240000104r6pAAA","506686400","WIDINOVATIONS, LDA","RUA DA INDÚSTRIA, 119, LOTEAMENTO INDUSTRIAL DA POUSA - CRUZINHA","POUSA","4755-417","PT"
"001240000104orcAAA","509671187","AVEITRONICA, UNIPESSOAL, LDA","RUA DO ALMIRANTE CÂNDIDO DOS REIS, 74A","AVEIRO","3800-096","PT"
"001240000104glEAAQ","508268800","SMARTSTEP - SISTEMAS DE MOBILIDADE INTEGRADOS, LDA","RUA PROFESSOR DOUTOR FERNANDO AUGUSTO PIRES LIMA, 394","SANTO TIRSO","4780-531","PT"
"001240000104pdPAAQ","506313131","STANLEY SECURITY PORTUGAL, UNIPESSOAL, LDA","RUA DE MALHÕES, 2/2A 2ºESQ., QUINTA DA FONTE - EDIFÍCIO DOM DINIZ","PAÇO DE ARCOS","2770-071","PT"
"00124000012yhKfAAI","508251052","SUBLIGIGA - EQUIPAMENTOS DE ESCRITORIO, UNIPESSOAL, LDA","AVENIDA MIGUEL BOMBARDA, 51 R/C","VALBOM","4420-502","PT"
"001240000104rYLAAY","508350620","AVEIDRAÚLICA, LDA","RUA AFONSO COSTA, 25/27","AVEIRO","3810-499","PT"
"001240000104sYSAAY","508336775","FROTCOM INTERNATIONAL, LDA","AVENIDA 25 DE ABRIL DE 1974, 15B 2C - EDIFÍCIO CYPRIUM","LINDA A VELHA","2795-197","PT"
"001240000104snOAAQ","508058945","SUPRIDES XXI, LDA","RUA ANTERO DE QUENTAL, 351","PERAFITA","4455-586","PT"
"001240000104puCAAQ","506487199","SEGURANT - COMÉRCIO DE EQUIPAMENTOS ELECTRÓNICOS E DE SEGURANÇA, LDA","RUA DO CASALINHO, 10","VALVERDE","2025-223","PT"
"001240000104q3kAAA","508420920","EASY PEOPLE, LDA","ALAMEDA ANTÓNIO SÉRGIO, 22 6ºB","MIRAFLORES","1495-132","PT"
"001240000104q6VAAQ","508413265","DECISION TEAM, LDA","CAMPO GRANDE, 35 9ºD","LISBOA","1700-087","PT"
"001240000104njAAAQ","509670610","IGENMAI, UNIPESSOAL, LDA","RUA TOMÁS RIBEIRO, 59 2ºDTO.","LISBOA","1050-226","PT"
"001240000104soSAAQ","506908453","ON CALL 24 - MANUTENÇÃO E COMERCIALIZAÇÃO DE EQUIPAMENTOS PETROLIFEROS E AFINS, LDA","RUA JOÃO LINO, 1A - QUINTA DAS REBELAS","SANTO ANDRÉ","2830-222","PT"
"00124000012wnPeAAI","236299808","SETUP INFORMÁTICA","Bairro dos Alagoachos, 137B","Vila Nova de Milfontes​","7645-012","PT"
"0012400001DvcAGAAZ","509041728","VERSÁTIL & TRANSVERSAL - INFORMÁTICA E MANUTENÇÃO, UNIPESSOAL, LDA","RUA DOUTOR MANUEL PACHECO NOBRE, 37B, ALTO DO SEIXALINHO","BARREIRO","2830-080","PT"
"001240000104gApAAI","508418534","SOLAR PROJECT, LDA","RUA DOS TERÇOS, 619","CANELAS","4410-236","PT"
"001240000104pZjAAI","509681093","DOMUSCALIDA, UNIPESSOAL, LDA","AVENIDA ESTRADA NACIONAL, 2 - VALE DA ERVA","PARADA DE GONTA","3460-423","PT"
"0012400000iZLINAA4","504376454","WEB 3 - SERVIÇOS INFORMÁTICOS, UNIPESSOAL, LDA","RUA PRINCIPAL, 481","FAGILDE","4525-189","PT"
"0012400000iZLNZAA4","501968326","INCENTEA - TECNOLOGIA DE GESTÃO, S.A.","RUA DAS OLIVEIRAS, 51A","LEIRIA","2415-456","PT"
"001240000104qAnAAI","506530256","NÚCLEO DATA - CONSULTORIA E PROGRAMAÇÃO INFORMÁTICA, LDA","RUA IRMÃOS DE SOUSA, 18","BRAGA","4715-246","PT"
"001240000104tLcAAI","508370787","WALLFUTURE, UNIPESSOAL, LDA","RUA CIDADE DE CACHEU, 31B","LISBOA","1500-155","PT"
"0012400000iYTnyAAG","505722267","BIOGLOBAL - BIOMETRIA E COMUNICAÇÕES GLOBAIS, S.A.","ESTRADA DA PONTE, 2, QUINTA GRANDE","AMADORA","2610-141","PT"
"00124000013eoUTAAY","509930301","EMPSOFT - SOLUÇÕES INFORMÁTICAS, UNIPESSOAL, LDA","RUA 1º DE MAIO, 3","VILA DA MARMELEIRA","2040-158","PT"
"00124000012yjBYAAY","513725652","MORAIS LEITÃO, UNIPESSOAL, LDA","URBANIZAÇÃO QUINTA DO BOSQUE, LOTE 120 3ºDTO.","VISEU","3510-010","PT"
"00124000014KYTOAA4","513804056","I9 BUSINESS, UNIPESSOAL, LDA","ZONA INDUSTRIAL DE COIMBRÕES, EDIFÍCIO EXPOBEIRAS SALA 5","SÃO JOÃO DE LOUROSA","3500-618","PT"
"0012400001DvjdTAAR","513221492","PREVALTA - TECNOLOGIAS DE SEGURANÇA E FOGO, LDA","RUA DA GRANJA, 36, GRANJA","VALE DE CAMBRA","3730-205","PT"
"0012400001DuwaBAAR","513311025","EQUITECNA - EQUIPAMENTOS TÉCNICOS, COMÉRCIO, INDÚSTRIA E SERVIÇOS, UNIPESSOAL, LDA","RUA DE ARROIOS, 21D","LISBOA","1150-053","PT"
"0011o00001UG1hqAAD","219851077","BRUNO FILIPE CARVALHO DA SILVA","","","","PT"
"0012400000YDOUiAAP","500654972","NORTECÓPIA - EQUIPAMENTOS DE ESCRITÓRIO, LDA","RUA DE SANTOS POUSADA, 706","PORTO","4000-480","PT"
"0012400001EtjN3AAJ","510072844","VALTEXMATE, UNIPESSOAL, LDA","RUA ÁLVARO AURÉLIO DO CÉU OLIVEIRA, 27","MAIA","4470-134","PT"
"0012400001EsdjIAAR","513994882","LINKYA MOBILE WALLET, LDA","RUA DOUTOR ARTUR AIRES, 100","PÓVOA DE VARZIM","4490-144","PT"
"0012400001F71PTAAZ","503471682","CEIB - INFORMÁTICA E COMUNICAÇÕES, LDA","RUA DE CAMÕES, 461","BAIÃO","4640-147","PT"
"0012400000Wm3xdAAB","502602880","SOCIDOIS - EQUIPAMENTOS DE ESCRITORIO, LDA","ESTRADA MUNICIPAL ESTRADA MUNICIPAL, 1022 LOTE 3 FRACÇÃO A, PINHAL DA AREIA","MOITA","2860-339","PT"
"0012400000W4bL5AAJ","502403985","JOFAX - EQUIPAMENTOS DE ESCRITÓRIO E DE REPROGRAFIA, LDA","RUA VISCONDE DAS DEVEZAS, 914, MAFAMUDE","VILA NOVA DE GAIA","4400-338","PT"
"0012400000bdpoJAAQ","509819788","PAULO DAMÁSIO - SOLUÇÕES, UNIPESSOAL, LDA","RUA SÉRGIO SOARES, 4 2ºESQ., PENDÃO","QUELUZ","2745-051","PT"
"0012400001FyjJKAAZ","514270322","MEMÓRIA INFALÍVEL - PUBLICIDADE DIGITAL, UNIPESSOAL, LDA","RUA PROFESSOR ANTÓNIO CABRAL, 256","ROMARIZ","3700-896","PT"
"0012400000XbnKOAAZ","509995667","MORESAFE, LDA","PRACETA A Á AVENIDA CIDADE DE LOURENÇO MARQUES, LOTE 530 R/C LOJA DTO.","LISBOA","1800-001","PT"
"00124000014JEafAAG","502635673","GRINCOP - GRÁFICA, INFORMÁTICA E CÓPIA, LDA","RUA SENHORA DA PIEDADE, LOTE 1 R/C","CASTELO BRANCO","6000-279","PT"
"0012400000kPYHHAA4","504112473","XECONXIRA - COMERCIO DE EQUIPAMENTO DE ESCRITORIO, LDA","PRACETA ALVARES CABRAL, LOTE 9 R/C DTO.","CARREGADO","2580-494","PT"
"00124000014GfPhAAK","510569854","VITOR NUNES - INFORMÁTICA, UNIPESSOAL, LDA","TRAVESSA DO COVELO, 66A","VIANA DO CASTELO","4900-697","PT"
"00124000013hFrWAAU","514096896","DIGITAL SPZ - AGÊNCIA DE MARKETING, LDA","PRAÇA DA CIDADANIA, 95 GABINETE 4, CENTRO EMPRESARIAL DE MATOSINHOS","SÃO MAMEDE DE INFESTA","4465-363","PT"
"00124000014HS6kAAG","500792151","NORBERTO RODRIGUES, LDA","RUA FREI BERNARDO DE BRITO, 3 LOJA A","LISBOA","1500-295","PT"
